#This is the fibers geometry file for AESOP
#This file was first written at: Tue Apr  5 16:30:01 CEST 2016
#Original filename: /home/tdwelly/4most/OpSim/inputs_to_system_model/AESOP/info_2016-04-05/aesop-cfg.json
#This file contains one entry per Fiber/Positioner, and gives the coordinates and details of each fiber
#Other info:
#Pitch is 9.542mm between fibres
#Fibe size is 0.085, so 1.43 asec
#Plate scale is 0.0594 mm/asec
#FoV is 535mm = 2.502 degrees diameter
#Rad curve 4,653 mm
#Patrol requirement is 11.5mm, but in practice they expect 12.3mm +/- 0.5 (so 11.8-12.8mm)
#Description of columns:
#Index  Name        Format    Description
#-----  ----------- --------- --------------------------------------------------------------------------------
#1      id          integer   Fiber identification number
#2      x0_mm       float     offset of the fiber base position from the FoV centre in the x-direction (mm)
#3      y0_mm       float     offset of the fiber base position from the FoV centre in the x-direction (mm)
#4      res         integer   code giving the resolution code of the fiber (1=low res, 2=high res)
#5      sector      integer   ID of the sky fiber allocation sector that this fiber lies within
#6      EdgeFlag    integer   Flag set if the fiber is at edge of field (0=middle;1=border;2=edge;3=corner)
#7      Spectro     string    HR, LR-A, LR-B
#8      Slitlet     integer   Slitlet within spectrograph
#9      Slitpos     integer   Slitpos within slitlet
#-----  ----------- --------- --------------------------------------------------------------------------------
id            x0_mm     y0_mm       res      sector  EdgeFlag  Spectro  Slitlet  Slitpos
140         -195.6794   -31.0104    1       -1       -1    LR-B         5        7
141         -195.6817   -21.4688    2       -1       -1      HR         5        7
142         -195.6832   -11.9272    1       -1       -1    LR-A         5        7
143         -195.6838    -2.3854    1       -1       -1    LR-B         5        6
144         -195.6836     7.1563    2       -1       -1      HR         5        6
145         -195.6826    16.6980    1       -1       -1    LR-A         5        6
146         -195.6807    26.2397    1       -1       -1    LR-B         5        5
147         -195.6779    35.7812    2       -1       -1      HR         5        5
148         -195.6743    45.3225    1       -1       -1    LR-A         5        5
149         -195.6699    54.8637    1       -1       -1    LR-B         5        4
150         -195.6646    64.4047    2       -1       -1      HR         5        4
151         -195.6584    73.9453    1       -1       -1    LR-A         5        4
152         -195.6515    83.4856    1       -1       -1    LR-B         5        3
153         -195.6436    93.0256    2       -1       -1      HR         5        3
154         -195.6349   102.5652    1       -1       -1    LR-A         5        3
155         -195.6254   112.1043    1       -1       -1    LR-B         5        2
156         -195.6150   121.6430    2       -1       -1      HR         5        2
157         -195.6038   131.1811    1       -1       -1    LR-A         5        2
158         -195.5918   140.7186    1       -1       -1    LR-B         5        1
159         -195.5789   150.2556    2       -1       -1      HR         5        1
160         -195.5651   159.7919    1       -1       -1    LR-A         5        1
161         -187.2479  -159.7919    1       -1       -1    LR-B         6       12
162         -187.2611  -150.2556    2       -1       -1      HR         6       12
163         -187.2734  -140.7186    1       -1       -1    LR-A         6       11
164         -187.2850  -131.1811    1       -1       -1    LR-B         6       11
165         -187.2957  -121.6430    2       -1       -1      HR         6       11
166         -187.3057  -112.1043    1       -1       -1    LR-A         6       10
167         -187.3148  -102.5652    1       -1       -1    LR-B         6       10
168         -187.3231   -93.0256    2       -1       -1      HR         6       10
169         -187.3306   -83.4856    1       -1       -1    LR-A         6        9
170         -187.3373   -73.9453    1       -1       -1    LR-B         6        9
171         -187.3432   -64.4047    2       -1       -1      HR         6        9
172         -187.3482   -54.8637    1       -1       -1    LR-A         6        8
173         -187.3525   -45.3225    1       -1       -1    LR-B         6        8
174         -187.3559   -35.7812    2       -1       -1      HR         6        8
175         -187.3586   -26.2397    1       -1       -1    LR-A         6        7
176         -187.3604   -16.6980    1       -1       -1    LR-B         6        7
177         -187.3614    -7.1563    2       -1       -1      HR         6        7
178         -187.3616     2.3854    1       -1       -1    LR-A         6        6
179         -187.3610    11.9272    1       -1       -1    LR-B         6        6
180         -187.3596    21.4688    2       -1       -1      HR         6        6
181         -187.3573    31.0104    1       -1       -1    LR-A         6        5
182         -187.3543    40.5519    1       -1       -1    LR-B         6        5
183         -187.3505    50.0932    2       -1       -1      HR         6        5
184         -187.3458    59.6342    1       -1       -1    LR-A         6        4
185         -187.3403    69.1750    1       -1       -1    LR-B         6        4
186         -187.3340    78.7155    2       -1       -1      HR         6        4
187         -187.3270    88.2557    1       -1       -1    LR-A         6        3
188         -187.3190    97.7955    1       -1       -1    LR-B         6        3
189         -187.3103   107.3348    2       -1       -1      HR         6        3
190         -187.3008   116.8737    1       -1       -1    LR-A         6        2
191         -187.2905   126.4121    1       -1       -1    LR-B         6        2
192         -187.2793   135.9499    2       -1       -1      HR         6        2
193         -187.2674   145.4872    1       -1       -1    LR-A         6        1
194         -187.2546   155.0238    1       -1       -1    LR-B         6        1
195         -187.2410   164.5597    2       -1       -1      HR         6        1
196         -178.9235  -164.5597    2       -1       -1      HR         7       12
197         -178.9365  -155.0238    1       -1       -1    LR-A         7       12
198         -178.9487  -145.4872    1       -1       -1    LR-B         7       12
199         -178.9601  -135.9499    2       -1       -1      HR         7       11
200         -178.9708  -126.4121    1       -1       -1    LR-A         7       11
201         -178.9806  -116.8737    1       -1       -1    LR-B         7       11
202         -178.9898  -107.3348    2       -1       -1      HR         7       10
203         -178.9981   -97.7955    1       -1       -1    LR-A         7       10
204         -179.0056   -88.2557    1       -1       -1    LR-B         7       10
205         -179.0124   -78.7155    2       -1       -1      HR         7        9
206         -179.0184   -69.1750    1       -1       -1    LR-A         7        9
207         -179.0236   -59.6342    1       -1       -1    LR-B         7        9
208         -179.0281   -50.0932    2       -1       -1      HR         7        8
209         -179.0318   -40.5519    1       -1       -1    LR-A         7        8
210         -179.0347   -31.0104    1       -1       -1    LR-B         7        8
211         -179.0368   -21.4688    2       -1       -1      HR         7        7
212         -179.0382   -11.9272    1       -1       -1    LR-A         7        7
213         -179.0387    -2.3854    1       -1       -1    LR-B         7        7
214         -179.0386     7.1563    2       -1       -1      HR         7        6
215         -179.0376    16.6980    1       -1       -1    LR-A         7        6
216         -179.0359    26.2397    1       -1       -1    LR-B         7        6
217         -179.0333    35.7812    2       -1       -1      HR         7        5
218         -179.0300    45.3225    1       -1       -1    LR-A         7        5
219         -179.0260    54.8637    1       -1       -1    LR-B         7        5
220         -179.0211    64.4047    2       -1       -1      HR         7        4
221         -179.0155    73.9453    1       -1       -1    LR-A         7        4
222         -179.0091    83.4856    1       -1       -1    LR-B         7        4
223         -179.0020    93.0256    2       -1       -1      HR         7        3
224         -178.9940   102.5652    1       -1       -1    LR-A         7        3
225         -178.9853   112.1043    1       -1       -1    LR-B         7        3
226         -178.9758   121.6430    2       -1       -1      HR         7        2
